SALESORDERID,HISTORY_CREATEDBY_EMPLOYEEID,HISTORY_CREATEDAT,HISTORY_CHANGEDBY_EMPLOYEEID,HISTORY_CHANGEDAT,PARTNER_PARTNERID,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS,HEADER_SALESORDERID,PRODUCT_PRODUCTID,NOTEID,CURRENCY,ITEMATPSTATUS,OPITEMPOS,QUANTITYUNIT,DELIVERYDATE,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY
500000000,24,1/1/2016,1,1/15/2015,100000000,X,I,I,500000000,HT-1000,,EUR,I,,EA,12/4/2015,1137.64,956,181.64,1
500000000,24,1/1/2016,1,1/15/2015,100000000,X,I,I,500000000,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000001,32,1/2/2016,20,1/16/2015,100000002,N,I,I,500000001,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000001,32,1/2/2016,20,1/16/2015,100000002,N,I,I,500000001,HT-1031,,GBP,I,,EA,12/4/2015,339.15,285,54.15,1
500000002,5,1/3/2016,6,1/17/2015,100000005,P,I,D,500000002,HT-1040,,EUR,I,,EA,12/4/2015,2963.1,2490,473.1,3
500000002,5,1/3/2016,6,1/17/2015,100000005,P,I,D,500000002,HT-1041,,ARS,I,,EA,12/4/2015,583.1,490,93.1,1
500000003,33,1/4/2016,19,1/18/2015,100000006,N,I,I,500000003,HT-1073,,EUR,I,,EA,12/4/2015,85.68,72,13.68,3
500000003,33,1/4/2016,19,1/18/2015,100000006,N,I,I,500000003,HT-1080,,INR,I,,EA,12/4/2015,182.07,153,29.07,3
500000004,22,1/5/2016,28,1/19/2015,100000006,C,P,D,500000004,HT-1100,,USD,I,,EA,12/4/2015,213.96,179.8,34.16,2
500000004,22,1/5/2016,28,1/19/2015,100000006,C,P,D,500000004,HT-1101,,EUR,I,,EA,12/4/2015,95.08,79.9,15.18,1
500000005,6,1/6/2016,23,1/20/2015,100000008,X,I,I,500000005,HT-1500,,EUR,I,,EA,12/4/2015,5950,5000,950,1
500000005,6,1/6/2016,23,1/20/2015,100000008,X,I,I,500000005,HT-1501,,JPY,I,,EA,12/4/2015,3570,3000,570,2
500000006,6,1/7/2016,5,1/21/2015,100000003,X,I,I,500000006,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000006,6,1/7/2016,5,1/21/2015,100000003,X,I,I,500000006,HT-1106,,MXN,I,,EA,12/4/2015,40.46,34,6.46,1
500000007,21,1/8/2016,13,1/22/2015,100000004,C,P,D,500000007,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000007,21,1/8/2016,13,1/22/2015,100000004,C,P,D,500000007,HT-1031,,GBP,I,,EA,12/4/2015,1017.45,855,162.45,3
500000008,13,1/9/2016,5,1/23/2015,100000009,X,I,I,500000008,HT-1060,,EUR,I,,EA,12/4/2015,21.42,18,3.42,2
500000008,13,1/9/2016,5,1/23/2015,100000009,X,I,I,500000008,HT-1061,,EUR,I,,EA,12/4/2015,16.66,14,2.66,2
500000009,31,1/10/2016,22,1/24/2015,100000000,P,P,I,500000009,HT-1040,,EUR,I,,EA,12/4/2015,1975.4,1660,315.4,2
500000009,31,1/10/2016,22,1/24/2015,100000000,P,P,I,500000009,HT-1041,,ARS,I,,EA,12/4/2015,1166.2,980,186.2,2
500000010,23,1/11/2016,2,1/25/2015,100000002,N,I,I,500000010,HT-1070,,ARS,I,,EA,12/4/2015,168.74,141.8,26.94,2
500000010,23,1/11/2016,2,1/25/2015,100000002,N,I,I,500000010,HT-1071,,ZAR,I,,EA,12/4/2015,194.45,163.4,31.05,2
500000011,2,1/12/2016,27,1/26/2015,100000004,P,P,I,500000011,HT-1104,,JPY,I,,EA,12/4/2015,65.45,55,10.45,1
500000011,2,1/12/2016,27,1/26/2015,100000004,P,P,I,500000011,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000012,26,1/13/2016,5,1/27/2015,100000005,P,I,D,500000012,HT-1000,,EUR,I,,EA,12/4/2015,2275.28,1912,363.28,2
500000012,26,1/13/2016,5,1/27/2015,100000005,P,I,D,500000012,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000013,19,1/14/2016,2,1/28/2015,100000006,P,I,D,500000013,HT-1022,,ARS,I,,EA,12/4/2015,243.95,205,38.95,1
500000013,19,1/14/2016,2,1/28/2015,100000006,P,I,D,500000013,HT-1023,,USD,I,,EA,12/4/2015,853.23,717,136.23,3
500000014,6,1/15/2016,8,1/29/2015,100000006,P,I,I,500000014,HT-1040,,EUR,I,,EA,12/4/2015,987.7,830,157.7,1
500000014,6,1/15/2016,8,1/29/2015,100000006,P,I,I,500000014,HT-1041,,ARS,I,,EA,12/4/2015,1166.2,980,186.2,2
500000015,23,1/16/2016,19,1/30/2015,100000008,X,I,I,500000015,HT-1055,,EUR,I,,EA,12/4/2015,353.43,297,56.43,3
500000015,23,1/16/2016,19,1/30/2015,100000008,X,I,I,500000015,HT-1056,,JPY,I,,EA,12/4/2015,283.22,238,45.22,2
500000016,26,1/17/2016,20,1/31/2015,100000004,N,I,I,500000016,HT-1067,,EUR,I,,EA,12/4/2015,8.33,7,1.33,2
500000016,26,1/17/2016,20,1/31/2015,100000004,N,I,I,500000016,HT-1068,,USD,I,,EA,12/4/2015,4.17,3.5,0.67,1
